,Parameter,Galaxy Name,Estimate,CI68_low,CI68_high,CI95_low,CI95_high,Est_in_CI68?,Est_in_CI95?,Est_at_lower?,Est_at_upper?,P(lower),P(upper),P(lower)>50%?,P(upper)>50%?,n_local_maxima,Index_of_peak
190,LOGQ,rf0227,7.05622,7.027410000000001,7.243460000000001,6.9842,7.4163,Y,Y,N,N,0.03306,0.0,N,N,1,11
191,LOGZ,rf0227,-0.37803000000000003,-0.43737,-0.21320999999999998,-0.50989,-0.054979999999999994,Y,Y,N,N,0.0,0.0,N,N,1,140
192,LOGQ,rf0229,6.977,7.08502,7.65395,6.9842,7.826789999999999,N,N,Y,N,0.026060000000000003,0.0,N,N,3,0
193,LOGZ,rf0229,0.16258,-0.28573000000000004,0.18236,-0.43078,0.24169000000000002,Y,Y,N,N,0.0,2.9999999999999997e-05,N,N,2,222
194,LOGQ,rf0234,6.977,7.00581,7.243460000000001,-inf,7.4235,N,Y,Y,N,0.07677,0.0,N,N,1,0
195,LOGZ,rf0234,0.043910000000000005,-0.23958000000000002,0.09006,-0.35825,0.17577,Y,Y,N,N,0.0,0.00013000000000000002,N,N,2,204
196,LOGQ,rf0236,7.142639999999999,7.092230000000001,7.26507,7.041810000000001,7.38749,Y,Y,N,N,0.00033999999999999997,0.0,N,N,1,23
197,LOGZ,rf0236,-0.43737,-0.51648,-0.32529,-0.589,-0.20002999999999999,Y,Y,N,N,0.0,0.0,N,N,1,131
198,LOGQ,rf0237,7.22186,7.05622,7.358689999999999,6.9842,7.50272,Y,Y,N,N,0.025639999999999996,0.0,N,N,1,34
199,LOGZ,rf0237,0.03732,-0.17365,0.08347,-0.29233000000000003,0.1428,Y,Y,N,N,0.0,0.0,N,N,1,203
200,LOGQ,rf0238,7.07062,7.027410000000001,7.250660000000001,6.9842,7.445110000000001,Y,Y,N,N,0.03227,0.0,N,N,1,13
201,LOGZ,rf0238,-0.411,-0.5033,-0.27255,-0.589,-0.08795,Y,Y,N,N,0.0,0.0,N,N,1,135
202,LOGQ,rf0241,7.992430000000001,7.891610000000001,8.20128,7.7763800000000005,8.38132,Y,Y,N,N,0.0,2e-05,N,N,1,141
203,LOGZ,rf0241,-0.66152,-0.72745,-0.45055,-0.80657,-0.30551,Y,Y,N,N,0.0,0.0,N,N,1,97
204,LOGQ,rf0242,7.21465,7.10663,7.52433,7.01301,7.76918,Y,Y,N,N,0.00727,0.0,N,N,1,33
205,LOGZ,rf0242,-0.09454,-0.18684,0.08347,-0.27255,0.18895,Y,Y,N,N,0.0,1e-05,N,N,1,183
206,LOGQ,rf0246,7.92762,7.81959,8.17247,7.70437,8.38132,Y,Y,N,N,0.0,7e-05,N,N,1,132
207,LOGZ,rf0246,-0.64175,-0.71427,-0.43078,-0.79997,-0.25936,Y,Y,N,N,0.0,0.0,N,N,1,100
208,LOGQ,rf0247,7.29387,7.2290600000000005,7.4379100000000005,7.157039999999999,7.5675300000000005,Y,Y,N,N,0.0,0.0,N,N,1,44
209,LOGZ,rf0247,-0.46374,-0.52967,-0.3187,-0.5956,-0.18684,Y,Y,N,N,0.0,0.0,N,N,1,127
210,LOGQ,rf0249,7.19305,7.06342,7.31548,6.9914,7.4379100000000005,Y,Y,N,N,0.018430000000000002,0.0,N,N,1,30
211,LOGZ,rf0249,0.15599000000000002,0.0505,0.20214000000000001,-0.06817000000000001,0.24169000000000002,Y,Y,N,N,0.0,4e-05,N,N,1,221
212,LOGQ,rf0250,7.668360000000001,7.5819399999999995,7.81959,7.50272,7.942019999999999,Y,Y,N,N,0.0,0.0,N,N,1,96
213,LOGZ,rf0250,-0.52967,-0.62197,-0.411,-0.6944899999999999,-0.29891999999999996,Y,Y,N,N,0.0,0.0,N,N,1,117
214,LOGQ,rf0251,6.9986,7.00581,7.20025,-inf,7.33708,N,Y,N,N,0.07466,0.0,N,N,1,3
215,LOGZ,rf0251,-0.33188,-0.4044,-0.17365,-0.47693,-0.048389999999999996,Y,Y,N,N,0.0,0.0,N,N,1,147
216,LOGQ,rf0252,7.257860000000001,7.19305,7.459510000000001,7.12103,7.668360000000001,Y,Y,N,N,0.0,0.0,N,N,1,39
217,LOGZ,rf0252,-0.47693,-0.5362600000000001,-0.29233000000000003,-0.60878,-0.10772999999999999,Y,Y,N,N,0.0,0.0,N,N,1,125
218,LOGQ,rf0256,7.22186,7.05622,7.3947,6.9842,7.574739999999999,Y,Y,N,N,0.027989999999999998,0.0,N,N,1,34
219,LOGZ,rf0256,0.03732,-0.19343,0.09665,-0.30551,0.18236,Y,Y,N,N,0.0,0.0,N,N,1,203
220,LOGQ,rf0257,7.28667,7.22186,7.4379100000000005,7.149839999999999,7.60354,Y,Y,N,N,0.0,0.0,N,N,1,43
221,LOGZ,rf0257,-0.50989,-0.57582,-0.34507,-0.6483399999999999,-0.16706,Y,Y,N,N,0.0,0.0,N,N,1,120
222,LOGQ,rf0258,7.0202100000000005,7.01301,7.26507,-inf,7.4235,Y,Y,N,N,0.0513,0.0,N,N,1,6
223,LOGZ,rf0258,-0.25277,-0.32529,-0.06817000000000001,-0.4044,0.0505,Y,Y,N,N,0.0,0.0,N,N,1,159
224,LOGQ,rf0259,7.06342,7.027410000000001,7.27947,6.9842,7.50272,Y,Y,N,N,0.03363,0.0,N,N,1,12
225,LOGZ,rf0259,-0.35166,-0.41758999999999996,-0.17365,-0.4967,0.01095,Y,Y,N,N,0.0,0.0,N,N,1,144
226,LOGQ,rf0262,7.12103,7.06342,7.243460000000001,7.01301,7.38749,Y,Y,N,N,0.00402,0.0,N,N,1,20
227,LOGZ,rf0262,-0.55604,-0.64175,-0.43078,-0.71427,-0.28573000000000004,Y,Y,N,N,0.0,0.0,N,N,1,113
228,LOGQ,rf0263,7.18585,7.11383,7.38029,7.041810000000001,7.53873,Y,Y,N,N,0.00045,0.0,N,N,1,29
229,LOGZ,rf0263,-0.41758999999999996,-0.47033,-0.2264,-0.54285,-0.08135,Y,Y,N,N,0.0,0.0,N,N,1,134
230,LOGQ,rf0264,6.977,7.034610000000001,7.4091,6.9842,7.63235,N,N,Y,N,0.04028,0.0,N,N,2,0
231,LOGZ,rf0264,0.057089999999999995,-0.25936,0.10324000000000001,-0.37144,0.20873000000000003,Y,Y,N,N,0.0,0.00018999999999999998,N,N,2,206
232,LOGQ,rf0265,7.4163,7.351489999999999,7.5819399999999995,7.27947,7.71877,Y,Y,N,N,0.0,0.0,N,N,1,61
233,LOGZ,rf0265,-0.51648,-0.58241,-0.36485,-0.6483399999999999,-0.2198,Y,Y,N,N,0.0,0.0,N,N,1,119
234,LOGQ,rf0266,7.63235,7.54593,7.81959,7.459510000000001,7.97803,Y,Y,N,N,0.0,0.0,N,N,1,91
235,LOGZ,rf0266,-0.61537,-0.6813,-0.44396,-0.7538199999999999,-0.29233000000000003,Y,Y,N,N,0.0,0.0,N,N,1,104
236,LOGQ,rf0267,7.07062,7.034610000000001,7.243460000000001,6.9914,7.38029,Y,Y,N,N,0.0238,0.0,N,N,1,13
237,LOGZ,rf0267,-0.37144,-0.43737,-0.21320999999999998,-0.5033,-0.08135,Y,Y,N,N,0.0,0.0,N,N,1,141
238,LOGQ,rf0268,7.06342,7.027410000000001,7.26507,6.9842,7.50992,Y,Y,N,N,0.03461,0.0,N,N,1,12
239,LOGZ,rf0268,-0.41758999999999996,-0.49011000000000005,-0.23958000000000002,-0.56922,-0.015430000000000001,Y,Y,N,N,0.0,0.0,N,N,1,134
240,LOGQ,rf0269,7.27227,7.17144,7.59634,7.05622,7.90601,Y,Y,N,N,0.00212,1e-05,N,N,1,41
241,LOGZ,rf0269,-0.43737,-0.51648,-0.15388,-0.61537,0.057089999999999995,Y,Y,N,N,0.0,1e-05,N,N,1,131
242,LOGQ,rf0272,7.445110000000001,7.38749,7.63955,7.30828,7.826789999999999,Y,Y,N,N,0.0,0.0,N,N,1,65
243,LOGZ,rf0272,-0.43737,-0.52307,-0.30551,-0.5956,-0.16047,Y,Y,N,N,0.0,0.0,N,N,1,131
244,LOGQ,rf0273,7.236260000000001,7.135439999999999,7.4163,7.04902,7.71157,Y,Y,N,N,0.00156,0.0,N,N,2,36
245,LOGZ,rf0273,-0.55604,-0.64175,-0.37144,-0.72745,-0.09454,Y,Y,N,N,0.0,0.0,N,N,1,113
246,LOGQ,rf0280,7.38749,7.33708,7.50992,7.27947,7.61074,Y,Y,N,N,0.0,0.0,N,N,1,57
247,LOGZ,rf0280,-0.50989,-0.56922,-0.37803000000000003,-0.64175,-0.27255,Y,Y,N,N,0.0,0.0,N,N,1,120
248,LOGQ,rf0283,7.142639999999999,7.034610000000001,7.27227,6.9842,7.4091,Y,Y,N,N,0.03437,0.0,N,N,1,23
249,LOGZ,rf0283,0.09665,-0.07476000000000001,0.12962,-0.23958000000000002,0.17577,Y,Y,N,N,0.0,0.0,N,N,1,212
250,LOGQ,rf0284,7.3947,7.32988,7.53153,7.27227,7.65395,Y,Y,N,N,0.0,0.0,N,N,1,58
251,LOGZ,rf0284,-0.52307,-0.5956,-0.39121999999999996,-0.66152,-0.26595,Y,Y,N,N,0.0,0.0,N,N,1,118
252,LOGQ,rf0292,7.19305,7.034610000000001,7.31548,6.9842,7.459510000000001,Y,Y,N,N,0.03835,0.0,N,N,2,30
253,LOGZ,rf0292,0.07028,-0.18025,0.09665,-0.3187,0.15599000000000002,Y,Y,N,N,0.0,0.0,N,N,1,208
254,LOGQ,rf0294,6.977,7.027410000000001,7.32988,6.9842,7.5891399999999996,N,N,Y,N,0.04336,0.0,N,N,1,0
255,LOGZ,rf0294,0.1428,-0.0418,0.21531999999999998,-0.29233000000000003,0.27466,Y,Y,N,N,0.0,0.010320000000000001,N,N,2,219
256,LOGQ,rf0297,7.236260000000001,7.18585,7.56033,7.10663,7.75478,Y,Y,N,N,0.0,0.0,N,N,1,36
257,LOGZ,rf0297,-0.47693,-0.52967,-0.23299,-0.60219,-0.054979999999999994,Y,Y,N,N,0.0,0.0,N,N,1,125
258,LOGQ,rf0298,7.07062,7.027410000000001,7.20745,6.9842,7.33708,Y,Y,N,N,0.02603,0.0,N,N,1,13
259,LOGZ,rf0298,-0.37803000000000003,-0.43737,-0.23958000000000002,-0.5033,-0.11432,Y,Y,N,N,0.0,0.0,N,N,1,140
260,LOGQ,rf0299,7.18585,7.12823,7.3730899999999995,7.05622,7.574739999999999,Y,Y,N,N,0.00037,0.0,N,N,1,29
261,LOGZ,rf0299,-0.41758999999999996,-0.4967,-0.25936,-0.57582,-0.08135,Y,Y,N,N,0.0,0.0,N,N,1,134
262,LOGQ,rf0300,7.092230000000001,7.041810000000001,7.243460000000001,6.9914,7.38749,Y,Y,N,N,0.01516,0.0,N,N,1,16
263,LOGZ,rf0300,-0.38463,-0.44396,-0.25277,-0.5033,-0.1275,Y,Y,N,N,0.0,0.0,N,N,1,139
264,LOGQ,rf0302,7.56033,7.2290600000000005,7.71877,7.041810000000001,7.891610000000001,Y,Y,N,N,0.0038399999999999997,0.0,N,N,1,81
265,LOGZ,rf0302,0.14939000000000002,-0.10113,0.18895,-0.25277,0.25488,Y,Y,N,N,0.0,0.00262,N,N,1,220
266,LOGQ,rf0303,7.135439999999999,7.08502,7.32268,7.027410000000001,7.49552,Y,Y,N,N,0.00186,0.0,N,N,1,22
267,LOGZ,rf0303,-0.4044,-0.47033,-0.2264,-0.54285,-0.06817000000000001,Y,Y,N,N,0.0,0.0,N,N,1,136
268,LOGQ,rf0305,7.142639999999999,7.08502,7.33708,7.01301,7.53873,Y,Y,N,N,0.00458,0.0,N,N,1,23
269,LOGZ,rf0305,-0.38463,-0.43737,-0.20661999999999997,-0.51648,-0.0418,Y,Y,N,N,0.0,0.0,N,N,1,139
270,LOGQ,rf0306,7.20025,7.149839999999999,7.32988,7.092230000000001,7.445110000000001,Y,Y,N,N,0.0,0.0,N,N,2,31
271,LOGZ,rf0306,-0.52307,-0.58241,-0.39121999999999996,-0.65493,-0.27255,Y,Y,N,N,0.0,0.0,N,N,1,118
272,LOGQ,rf0314,7.2290600000000005,7.1642399999999995,7.517119999999999,7.08502,7.91321,Y,Y,N,N,9e-05,0.0,N,N,1,35
273,LOGZ,rf0314,-0.52307,-0.589,-0.28573000000000004,-0.65493,0.0505,Y,Y,N,N,0.0,0.0,N,N,2,118
274,LOGQ,rf0316,7.2290600000000005,7.10663,7.49552,7.01301,7.63955,Y,Y,N,N,0.006690000000000001,0.0,N,N,2,35
275,LOGZ,rf0316,-0.015430000000000001,-0.29233000000000003,0.03732,-0.39121999999999996,0.12302,Y,Y,N,N,0.0,0.0,N,N,3,195
276,LOGQ,rf0318,7.71877,7.63955,7.9852300000000005,7.53873,8.21568,Y,Y,N,N,0.0,0.0,N,N,1,103
277,LOGZ,rf0318,-0.56263,-0.6483399999999999,-0.35166,-0.74064,-0.16706,Y,Y,N,N,0.0,0.0,N,N,1,112
278,LOGQ,rf0320,7.38749,7.32988,7.517119999999999,7.27227,7.62515,Y,Y,N,N,0.0,0.0,N,N,1,57
279,LOGZ,rf0320,-0.5033,-0.56263,-0.36485,-0.63515,-0.24618,Y,Y,N,N,0.0,0.0,N,N,1,121
280,LOGQ,rf0321,7.149839999999999,7.08502,7.365889999999999,7.01301,7.71157,Y,Y,N,N,0.00719,0.0,N,N,1,24
281,LOGZ,rf0321,-0.48352,-0.56922,-0.29233000000000003,-0.6681199999999999,-0.00883,Y,Y,N,N,0.0,0.0,N,N,1,124
282,LOGQ,rf0322,7.06342,7.034610000000001,7.33708,6.9842,7.574739999999999,Y,Y,N,N,0.031310000000000004,0.0,N,N,1,12
283,LOGZ,rf0322,-0.34507,-0.41758999999999996,-0.10113,-0.5033,0.09006,Y,Y,N,N,0.0,0.0,N,N,1,145
284,LOGQ,rf0323,7.092230000000001,7.041810000000001,7.301069999999999,6.9914,7.49552,Y,Y,N,N,0.019430000000000003,0.0,N,N,1,16
285,LOGZ,rf0323,-0.30551,-0.37803000000000003,-0.1341,-0.45055,0.01095,Y,Y,N,N,0.0,0.0,N,N,1,151
286,LOGQ,rf0326,7.30828,7.236260000000001,7.53873,7.135439999999999,7.80519,Y,Y,N,N,2.9999999999999997e-05,0.0,N,N,1,46
287,LOGZ,rf0326,-0.48352,-0.55604,-0.27914,-0.63515,-0.061579999999999996,Y,Y,N,N,0.0,0.0,N,N,1,124
288,LOGQ,rf0328,6.977,6.9986,7.17144,-inf,7.301069999999999,N,Y,Y,N,0.09971000000000001,0.0,N,N,1,0
289,LOGZ,rf0328,-0.21320999999999998,-0.29233000000000003,-0.07476000000000001,-0.36485,0.030719999999999997,Y,Y,N,N,0.0,0.0,N,N,1,165
290,LOGQ,rf0331,7.30828,7.19305,7.49552,7.08502,7.668360000000001,Y,Y,N,N,0.0006,0.0,N,N,1,46
291,LOGZ,rf0331,-0.32529,-0.4044,-0.15388,-0.48352,-0.028610000000000003,Y,Y,N,N,0.0,0.0,N,N,1,148
292,LOGQ,rf0332,7.50992,7.4307,7.668360000000001,7.351489999999999,7.80519,Y,Y,N,N,0.0,0.0,N,N,1,74
293,LOGZ,rf0332,-0.4967,-0.56263,-0.34507,-0.63515,-0.21320999999999998,Y,Y,N,N,0.0,0.0,N,N,1,122
294,LOGQ,rf0333,6.9842,7.041810000000001,7.4307,6.9842,7.59634,N,Y,Y,N,0.03467,0.0,N,N,2,1
295,LOGZ,rf0333,0.07028,-0.25936,0.10984000000000001,-0.37144,0.19554000000000002,Y,Y,N,N,0.0,0.0,N,N,2,208
296,LOGQ,rf0335,7.257860000000001,7.18585,7.3947,7.12103,7.55313,Y,Y,N,N,0.0,0.0,N,N,1,39
297,LOGZ,rf0335,-0.52307,-0.60878,-0.39121999999999996,-0.6813,-0.2198,Y,Y,N,N,0.0,0.0,N,N,1,118
298,LOGQ,rf0338,7.50992,7.4091,7.63955,7.33708,7.790789999999999,Y,Y,N,N,0.0,0.0,N,N,2,74
299,LOGZ,rf0338,-0.39781,-0.50989,-0.33188,-0.58241,-0.21320999999999998,Y,Y,N,N,0.0,0.0,N,N,1,137
300,LOGQ,rf0339,7.38029,7.12103,7.49552,6.9986,7.62515,Y,Y,N,N,0.014669999999999999,0.0,N,N,2,56
301,LOGZ,rf0339,0.07028,-0.21320999999999998,0.09665,-0.34507,0.1428,Y,Y,N,N,0.0,0.0,N,N,1,208
302,LOGQ,rf0340,7.250660000000001,7.17865,7.358689999999999,7.11383,7.466710000000001,Y,Y,N,N,0.0,0.0,N,N,1,38
303,LOGZ,rf0340,-0.48352,-0.54945,-0.35825,-0.61537,-0.23299,Y,Y,N,N,0.0,0.0,N,N,1,124
304,LOGQ,rf0342,6.9986,6.9986,7.157039999999999,-inf,7.301069999999999,Y,Y,N,N,0.0932,0.0,N,N,1,3
305,LOGZ,rf0342,-0.27914,-0.34507,-0.14728,-0.41758999999999996,-0.0352,Y,Y,N,N,0.0,0.0,N,N,1,155
306,LOGQ,rf0343,7.12103,7.034610000000001,7.26507,6.9842,7.3730899999999995,Y,Y,N,N,0.027739999999999997,0.0,N,N,1,20
307,LOGZ,rf0343,-0.10113,-0.2198,-0.015430000000000001,-0.29891999999999996,0.057089999999999995,Y,Y,N,N,0.0,0.0,N,N,1,182
308,LOGQ,rf0344,6.9914,7.00581,7.301069999999999,-inf,7.574739999999999,N,Y,Y,N,0.07255,0.0,N,N,1,2
309,LOGZ,rf0344,-0.43737,-0.50989,-0.054979999999999994,-0.62856,0.14939000000000002,Y,Y,N,N,0.0,0.00023999999999999998,N,N,2,131
310,LOGQ,rf0348,7.20025,7.08502,7.31548,6.9986,7.452310000000001,Y,Y,N,N,0.014519999999999998,0.0,N,N,1,31
311,LOGZ,rf0348,0.20873000000000003,0.10984000000000001,0.2351,-0.022019999999999998,0.26147,Y,Y,N,N,0.0,0.00064,N,N,1,229
312,LOGQ,rf0351,7.257860000000001,7.17865,7.3730899999999995,7.11383,7.48832,Y,Y,N,N,0.0,0.0,N,N,1,39
313,LOGZ,rf0351,-0.411,-0.48352,-0.29233000000000003,-0.54945,-0.18025,Y,Y,N,N,0.0,0.0,N,N,1,135
314,LOGQ,rf0354,7.01301,7.041810000000001,7.49552,6.9842,7.65395,N,Y,N,N,0.0315,0.0,N,N,3,5
315,LOGZ,rf0354,-0.35825,-0.411,0.00435,-0.4967,0.10324000000000001,Y,Y,N,N,0.0,0.0,N,N,3,143
316,LOGQ,rf0358,7.55313,7.473910000000001,7.682760000000001,7.3947,7.80519,Y,Y,N,N,0.0,0.0,N,N,1,80
317,LOGZ,rf0358,-0.52307,-0.5956,-0.39121999999999996,-0.6681199999999999,-0.27914,Y,Y,N,N,0.0,0.0,N,N,1,118
318,LOGQ,rf0363,7.63235,7.55313,7.76198,7.473910000000001,7.877210000000001,Y,Y,N,N,0.0,0.0,N,N,1,91
319,LOGZ,rf0363,-0.52967,-0.62856,-0.42418,-0.70108,-0.3121,Y,Y,N,N,0.0,0.0,N,N,1,117
320,LOGQ,rf0364,7.00581,7.0202100000000005,7.3730899999999995,6.9842,7.54593,N,Y,N,N,0.04539,0.0,N,N,1,4
321,LOGZ,rf0364,-0.33188,-0.39781,-0.048389999999999996,-0.47693,0.08347,Y,Y,N,N,0.0,0.0,N,N,1,147
322,LOGQ,rf0365,7.12823,7.07782,7.22186,7.034610000000001,7.301069999999999,Y,Y,N,N,0.00075,0.0,N,N,1,21
323,LOGZ,rf0365,-0.33848,-0.39121999999999996,-0.24618,-0.44396,-0.16706,Y,Y,N,N,0.0,0.0,N,N,1,146
324,LOGQ,rf0366,7.301069999999999,7.236260000000001,7.4019,7.17144,7.49552,Y,Y,N,N,0.0,0.0,N,N,1,45
325,LOGZ,rf0366,-0.41758999999999996,-0.4967,-0.33188,-0.56263,-0.23299,Y,Y,N,N,0.0,0.0,N,N,1,134
326,LOGQ,rf0367,7.3947,7.32268,7.56033,7.236260000000001,7.71157,Y,Y,N,N,0.0,0.0,N,N,1,58
327,LOGZ,rf0367,-0.4044,-0.52307,-0.29891999999999996,-0.61537,-0.16047,Y,Y,N,N,0.0,0.0,N,N,1,136
328,LOGQ,rf0368,7.31548,7.257860000000001,7.4379100000000005,7.19305,7.55313,Y,Y,N,N,0.0,0.0,N,N,1,47
329,LOGZ,rf0368,-0.48352,-0.54945,-0.35825,-0.61537,-0.23958000000000002,Y,Y,N,N,0.0,0.0,N,N,1,124
330,LOGQ,rf0370,7.27227,7.19305,7.4019,7.12823,7.53153,Y,Y,N,N,0.0,0.0,N,N,1,41
331,LOGZ,rf0370,-0.39781,-0.45715,-0.26595,-0.52307,-0.14728,Y,Y,N,N,0.0,0.0,N,N,1,137
332,LOGQ,rf0374,7.01301,6.9986,7.157039999999999,-inf,7.30828,Y,Y,N,N,0.08592000000000001,0.0,N,N,1,5
333,LOGZ,rf0374,-0.42418,-0.4967,-0.28573000000000004,-0.56922,-0.1341,Y,Y,N,N,0.0,0.0,N,N,1,133
334,LOGQ,rf0376,7.32268,7.236260000000001,7.4379100000000005,7.149839999999999,7.5675300000000005,Y,Y,N,N,0.0,0.0,N,N,1,48
335,LOGZ,rf0376,-0.27914,-0.34507,-0.17365,-0.411,-0.09454,Y,Y,N,N,0.0,0.0,N,N,1,155
336,LOGQ,rf0378,6.9914,7.034610000000001,7.4019,6.9842,7.59634,N,Y,Y,N,0.040010000000000004,0.0,N,N,1,2
337,LOGZ,rf0378,-0.21320999999999998,-0.26595,0.09006,-0.36485,0.18895,Y,Y,N,N,0.0,0.0,N,N,3,165
338,LOGQ,rf0381,7.27947,7.22186,7.54593,7.135439999999999,7.7763800000000005,Y,Y,N,N,0.0,0.0,N,N,1,42
339,LOGZ,rf0381,-0.44396,-0.5033,-0.2198,-0.57582,-0.0352,Y,Y,N,N,0.0,0.0,N,N,1,130
340,LOGQ,rf0383,6.977,7.01301,7.257860000000001,-inf,7.4379100000000005,N,Y,Y,N,0.05875,0.0,N,N,1,0
341,LOGZ,rf0383,0.09665,-0.18684,0.12962,-0.34507,0.19554000000000002,Y,Y,N,N,0.0,2.9999999999999997e-05,N,N,2,212
342,LOGQ,rf0385,7.08502,7.034610000000001,7.22186,6.9914,7.351489999999999,Y,Y,N,N,0.01944,0.0,N,N,1,15
343,LOGZ,rf0385,-0.35166,-0.411,-0.2198,-0.47693,-0.10772999999999999,Y,Y,N,N,0.0,0.0,N,N,1,144
344,LOGQ,rf0386,6.977,7.027410000000001,7.34428,6.9842,7.48832,N,N,Y,N,0.04481,0.0,N,N,2,0
345,LOGZ,rf0386,0.03732,-0.27914,0.0505,-0.38463,0.12302,Y,Y,N,N,0.0,0.0,N,N,3,203
346,LOGQ,rf0387,7.06342,7.05622,7.466710000000001,6.9914,7.63235,Y,Y,N,N,0.02245,0.0,N,N,1,12
347,LOGZ,rf0387,-0.26595,-0.3121,0.06369,-0.411,0.15599000000000002,Y,Y,N,N,0.0,0.0,N,N,2,157
348,LOGQ,rf0388,7.21465,7.07782,7.358689999999999,6.9914,7.52433,Y,Y,N,N,0.018340000000000002,0.0,N,N,1,33
349,LOGZ,rf0388,0.15599000000000002,0.024130000000000002,0.20214000000000001,-0.20002999999999999,0.24829,Y,Y,N,N,0.0,0.00018,N,N,1,221
350,LOGQ,rf0391,7.11383,7.05622,7.31548,6.9914,7.53873,Y,Y,N,N,0.01617,0.0,N,N,1,19
351,LOGZ,rf0391,-0.39781,-0.48352,-0.2198,-0.56922,-0.022019999999999998,Y,Y,N,N,0.0,0.0,N,N,1,137
352,LOGQ,rf0392,7.445110000000001,7.38029,7.61074,7.31548,7.75478,Y,Y,N,N,0.0,0.0,N,N,1,65
353,LOGZ,rf0392,-0.54945,-0.62856,-0.4044,-0.6944899999999999,-0.25936,Y,Y,N,N,0.0,0.0,N,N,1,114
354,LOGQ,rf0393,7.7763800000000005,7.682760000000001,7.92762,7.59634,8.07165,Y,Y,N,N,0.0,0.0,N,N,1,111
355,LOGZ,rf0393,-0.4967,-0.56922,-0.35166,-0.65493,-0.23958000000000002,Y,Y,N,N,0.0,0.0,N,N,1,122
356,LOGQ,rf0395,7.725969999999999,7.4235,7.884410000000001,7.12103,8.05005,Y,Y,N,N,0.00232,0.0,N,N,2,104
357,LOGZ,rf0395,0.26807,0.15599000000000002,0.28125,-0.054979999999999994,inf,Y,Y,N,N,0.0,0.07915,N,N,1,238
358,LOGQ,rf0396,7.12103,7.027410000000001,7.257860000000001,6.9842,7.38029,Y,Y,N,N,0.03777,0.0,N,N,1,20
359,LOGZ,rf0396,-0.00883,-0.1341,0.06369,-0.23299,0.12962,Y,Y,N,N,0.0,0.0,N,N,2,196
360,LOGQ,rf0398,7.2290600000000005,7.08502,7.5675300000000005,6.9914,7.7763800000000005,Y,Y,N,N,0.01792,0.0,N,N,1,35
361,LOGZ,rf0398,0.08347,-0.2264,0.12962,-0.33848,0.21531999999999998,Y,Y,N,N,0.0,1e-05,N,N,2,210
362,LOGQ,rf0399,7.08502,7.034610000000001,7.18585,6.9914,7.27947,Y,Y,N,N,0.0144,0.0,N,N,1,15
363,LOGZ,rf0399,-0.30551,-0.37144,-0.20661999999999997,-0.43078,-0.1275,Y,Y,N,N,0.0,0.0,N,N,1,151
364,LOGQ,rf0400,7.445110000000001,7.301069999999999,7.63235,7.149839999999999,7.81239,Y,Y,N,N,0.00081,0.0,N,N,1,65
365,LOGZ,rf0400,0.28125,0.21531999999999998,0.28784,0.12302,inf,Y,Y,N,Y,0.0,0.15783,N,N,1,240
366,LOGQ,rf0401,7.445110000000001,7.38029,7.61795,7.30828,7.81959,Y,Y,N,N,0.0,0.0,N,N,1,65
367,LOGZ,rf0401,-0.66152,-0.7208600000000001,-0.48352,-0.79997,-0.29233000000000003,Y,Y,N,N,0.0,0.0,N,N,1,97
368,LOGQ,rf0403,7.27227,7.20745,7.49552,7.12823,7.63955,Y,Y,N,N,0.0,0.0,N,N,1,41
369,LOGZ,rf0403,-0.43078,-0.48352,-0.23958000000000002,-0.55604,-0.10772999999999999,Y,Y,N,N,0.0,0.0,N,N,1,132
370,LOGQ,rf0412,7.11383,7.06342,7.31548,7.00581,7.52433,Y,Y,N,N,0.00889,0.0,N,N,1,19
371,LOGZ,rf0412,-0.38463,-0.45055,-0.21320999999999998,-0.51648,-0.0418,Y,Y,N,N,0.0,0.0,N,N,1,139
372,LOGQ,rf0413,7.027410000000001,7.01301,7.236260000000001,6.9842,7.4019,Y,Y,N,N,0.05004,0.0,N,N,1,7
373,LOGZ,rf0413,-0.38463,-0.45715,-0.2198,-0.52307,-0.054979999999999994,Y,Y,N,N,0.0,0.0,N,N,2,139
374,LOGQ,rf0415,7.034610000000001,7.01301,7.20745,-inf,7.33708,Y,Y,N,N,0.052739999999999995,0.0,N,N,1,8
375,LOGZ,rf0415,-0.24618,-0.3187,-0.11432,-0.38463,-0.015430000000000001,Y,Y,N,N,0.0,0.0,N,N,1,160
376,LOGQ,rf0417,7.70437,7.4019,7.8556,7.10663,8.01404,Y,Y,N,N,0.00232,0.0,N,N,1,101
377,LOGZ,rf0417,0.25488,0.12302,0.27466,-0.10113,0.29444000000000004,Y,Y,N,N,0.0,0.04478,N,N,1,236
378,LOGQ,rf0419,7.62515,7.54593,7.7763800000000005,7.466710000000001,7.898810000000001,Y,Y,N,N,0.0,0.0,N,N,1,90
379,LOGZ,rf0419,-0.56263,-0.6483399999999999,-0.42418,-0.7208600000000001,-0.30551,Y,Y,N,N,0.0,0.0,N,N,1,112
380,LOGQ,rf0425,7.06342,7.041810000000001,7.4091,6.9842,7.65395,Y,Y,N,N,0.02645,0.0,N,N,1,12
381,LOGZ,rf0425,-0.3187,-0.37803000000000003,-0.0352,-0.46374,0.12302,Y,Y,N,N,0.0,0.0,N,N,1,149
382,LOGQ,rf0427,6.977,7.00581,7.250660000000001,-inf,7.4379100000000005,N,Y,Y,N,0.08191,0.0,N,N,1,0
